sales_agent_name,product_name,total_sold_units
Olivia Davis,Laptop,931.0
John Doe,TV,896.0
Daniel Martinez,Heels,1548.0
Sophia Moore,Jeans,264.0
Daniel Martinez,Blouse,946.0
Michael Johnson,Jeans,660.0
Daniel Martinez,Dress,416.0
Daniel Martinez,Laptop,441.0
Christopher Miller,Microwave,795.0
Michael Johnson,Sneakers,376.0
John Doe,Toaster,459.0
Olivia Davis,Jeans,836.0
Christopher Miller,Vacuum Cleaner,528.0
Emma Taylor,Monitor,550.0
Michael Johnson,Sandals,49.0
Sophia Moore,Heels,1075.0
Jane Smith,Blouse,473.0
David Wilson,Boots,702.0
Jane Smith,Vacuum Cleaner,1364.0
John Doe,Monitor,715.0
David Wilson,Hoodie,705.0
John Doe,Iron,360.0
Olivia Davis,Hair Straightener,676.0
Sophia Moore,Tablet,517.0
Christopher Miller,Blender,1104.0
Jane Smith,T-Shirt,1104.0
Jane Smith,Printer,318.0
Sophia Moore,Electric Kettle,2301.0
Olivia Davis,TV,1536.0
Jane Smith,Sneakers,470.0
Michael Johnson,Laptop,1519.0
Sophia Moore,Printer,1431.0
Daniel Martinez,T-Shirt,1728.0
Daniel Martinez,Hair Straightener,1300.0
Daniel Martinez,Vacuum Cleaner,396.0
Jane Smith,Washing Machine,1104.0
David Wilson,Printer,848.0
Christopher Miller,Skirt,3692.0
Christopher Miller,Sandals,392.0
David Wilson,Electric Kettle,1357.0
Emily Brown,T-Shirt,1632.0
David Wilson,Sneakers,752.0
Jane Smith,Hair Straightener,1924.0
Emma Taylor,Heels,301.0
David Wilson,Camera,2107.0
Emma Taylor,T-Shirt,1056.0
Olivia Davis,Toaster,357.0
Christopher Miller,Hoodie,141.0
Sophia Moore,TV,640.0
Jane Smith,Toaster,1479.0
David Wilson,T-Shirt,1056.0
Jane Smith,Laptop,441.0
Olivia Davis,Monitor,1100.0
Christopher Miller,Tablet,1645.0
Emily Brown,Electric Kettle,944.0
Daniel Martinez,Blender,184.0
Emily Brown,Printer,530.0
David Wilson,Washing Machine,576.0
Olivia Davis,Skirt,4118.0
Daniel Martinez,Skirt,1988.0
John Doe,Hair Straightener,1352.0
Sophia Moore,Sneakers,282.0
Jane Smith,Smartphone,924.0
Christopher Miller,Hair Dryer,78.0
Michael Johnson,Electric Kettle,826.0
Jane Smith,Heels,43.0
Olivia Davis,Tablet,282.0
Michael Johnson,Coffee Maker,530.0
David Wilson,Blender,1012.0
Christopher Miller,Sandals,735.0
David Wilson,Vacuum Cleaner,1364.0
David Wilson,Smartphone,440.0
Emily Brown,Sandals,2597.0
David Wilson,Toaster,969.0
Olivia Davis,Iron,600.0
Christopher Miller,Iron,880.0
Jane Smith,Iron,680.0
Sophia Moore,Hoodie,1081.0
Michael Johnson,Boots,624.0
Daniel Martinez,Sneakers,799.0
David Wilson,Boots,480.0
Christopher Miller,Hair Straightener,572.0
Olivia Davis,Dress,1768.0
Daniel Martinez,Smartphone,748.0
Emma Taylor,Skirt,1065.0
Christopher Miller,TV,1920.0
David Wilson,Tablet,1128.0
Emma Taylor,Blender,1288.0
Christopher Miller,Monitor,1760.0
Olivia Davis,Sandals,98.0
David Wilson,Sandals,1176.0
Emily Brown,Skirt,3266.0
John Doe,Washing Machine,768.0
David Wilson,Headphones,826.0
Christopher Miller,T-Shirt,912.0
Emma Taylor,Headphones,2065.0
David Wilson,Heels,1204.0
Emily Brown,Washing Machine,864.0
Emily Brown,Smartphone,352.0
Emma Taylor,Printer,1007.0
John Doe,Sandals,1225.0
Daniel Martinez,Electric Kettle,1416.0
Michael Johnson,Microwave,2332.0
Emily Brown,Tablet,1504.0
Emma Taylor,Hair Dryer,663.0
Emma Taylor,Iron,720.0
David Wilson,Iron,760.0
Emma Taylor,Vacuum Cleaner,308.0
Christopher Miller,Boots,336.0
Olivia Davis,T-Shirt,720.0
Emily Brown,Jeans,616.0
Daniel Martinez,Toaster,1632.0
Christopher Miller,Headphones,767.0
Jane Smith,Electric Kettle,826.0
